#رقم	الكلمة	غير مشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنثه	مذكره	عدد	الجمع	مفرده	تأنيث	تثنية	ج. مؤ.س.	ج, مذ, س,	منقوص	تنوين نصب	نسب	إض, لف,	ـو	نكرة	معرف	غ. عاقل	عاقل	تنون النصب للجمع	شرح
2024	تَسَاقُطٌ		سقط		مصدر	تَسَاقَطَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَاقُطٌ-تَسَاقُطٌ [س ق ط] (مص. تَسَاقَطَ). 1.""تَسَاقُطُ الأَوْرَ"
2025	تَسَاقِي		سقي		مصدر	تَسَاقَى		مذكر			مفرد	+ات			DnN	Pf		Tk	Tn									"تَسَاقٍ-تَسَاقٍ، التَّسَاقِي [س ق ي] (مص. تَسَاقَى). """
2026	تَسَاكُبٌ		سكب		مصدر	تَسَاكَبَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَاكُبٌ-تَسَاكُبٌ [س ك ب] (مص. تَسَاكَبَ). ""تَسَاكُبُ الدُّمُو"
2027	تَسَاكُنٌ		سكن		مصدر	تَسَاكَنَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَاكُنٌ-تَسَاكُنٌ [س ك ن] (مص. تَسَاكَنَ). 1.""التَّسَاكُنُ فِي العِمَارَةِ نَفْسِها"" : سكناها مَعاً. 2.""ظَلَّتْ عِشْرَتُهُمْ فِي تَسَاكُنٍ وَوِئَامٍ"" : فِي تَعَايُشٍ."
2028	تَسَامُحٌ		سمح		مصدر	تَسَامَحَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَامُحٌ-تَسَامُحٌ [س م ح] (مص. تَسَامَحَ).""مِنْ صِفَاتِهِ التَّسَامُحُ"" : التَّسَاهُلُ، الحِلْمُ، العَفْوُ. ""لاَ تَسَامُحَ، لاَ تَصَالُحَ مَعَ العَدُوِّ مَا دَامَ عَدُوّاً""."
2029	تَسَامُرٌ		سمر		مصدر	تَسَامَرَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَامُرٌ-تَسَامُرٌ [س م ر] (مص. تَسَامَرَ). ""اِسْتَغْرَقَ الصِّحَابُ فِي تَسَامُرٍ"" : فِي التَّحَدُّثِ لَيْلاً."
2030	تَسَامِي		سمو		مصدر	تَسَامَى		مذكر			مفرد	+ات			DnN	Pf		Tk	Tn									"تَسَامٍ-تَسَامٍ، التَّسَامِي [س م و] (مص. تَسَامَى). 1.""التَّسَامِي عَنِ الرَّذَائِلِ"" : التَّرَفُّعُ، التَّعَالِي عَنْهَا. 2.""تَسَامِي أَعْضَاءِ القَبِيلَةِ"" : تَفَاخُرُهُمْ."
2031	تَسَاهُلٌ		سهل		مصدر	تَسَاهَلَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَاهُلٌ-تَسَاهُلٌ [س هـ ل] (مص. تَسَاهَلَ). ""لاَ يَعْرِفُ مَعْنَى التَّسَاهُلِ"" : الرَّأْفَةُ، الحِلْمُ، التَّسَامُحُ. ""التَّسَاهُلُ خَيْرٌ مِنَ التَّصَلُّبِ""."
2032	تَسَاوُمٌ		سوم		مصدر	تَسَاوَمَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَاوُمٌ-تَسَاوُمٌ [س و م] (مص. تَسَاوَمَ). ""لَمْ يَشْتَرِ البِضَاعَةَ إِلاَّ بَعْدَ تَسَاوُمٍ"" : بَعْدَ مُسَاوَمَةٍ وَتَفَاوُضٍ عَلَى الثَّمَنِ."
2033	تَسَاوِي		سوي		مصدر	تَسَاوَى		مذكر			مفرد	+ات			DnN	Pf		Tk	Tn									"تَسَاوٍ-تَسَاوٍ، التَّسَاوِي [س و ي] (مص. تَسَاوَى). ""وَزَّعَ الهَدَايَا بِالتَّسَاوِي"" : بِالتَّكَافُؤِ، بِالعَدْلِ لِيَأْخُذَ كُلٌّ نَصِيبَهُ."
2034	تَسَايُرٌ		سير		مصدر	تَسَايَرَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَايُرٌ-تَسَايُرٌ [س ي ر] (مص. تَسَايَرَ). 1.""تَسَايُرُ الرَّجُلَيْنِ"": تَجَ"
2035	تَسَايُفٌ		سيف		مصدر	تَسَايَفَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَايُفٌ-تَسَايُفٌ [س ي ف] (مص. تَسَايَفَ). ""خَ"
2036	تَسَايُلٌ		سيل		مصدر	تَسَايَلَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَايُلٌ-تَسَايُلٌ [س ي ل] (مص. تَسَايَلَ). ""تَسَ"
2037	تَسَبُّبٌ		سبب		مصدر	تَسَبَّبَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَبُّبٌ-تَسَبُّبٌ [س ب ب ] (مص. تَسَبَّبَ). 1.""التَّسَبُّبُ فِيمَا حَدَثَ"" : مَا أَدَّى إِلَى حُدُوثِ مَا حَدَثَ. 2.""كَانَ مِنْ تَسَبُّبِ الزِّلْزَالِ، اِنْهِيَارُ مَدِينَةٍ"" : مَا نَتَجَ وَنَجَمَ. 3.""التَّسَبُّبُ فِي تِجَارَةِ الخُرْدَةِ"" : تَعَاطِي تِجَارَةِ الخُرْدَةِ لِكَسْبِ الرِّزْقِ. 4.""أَرَادَ التَّسَبُّبَ إِلَيْهِ"" : التَّوَسُّلَ إِلَيْهِ."
2038	تَسَتُّرٌ		ستر		مصدر	تَسَتَّرَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَتُّرٌ-تَسَتُّرٌ [س ت ر] (مص. تَسَتَّرَ). ""حَاوَلَ التَّسَتُّرَ عَنْ أَخْطَائِهِ"" : التَّمْوِيهَ عَنْهَا، إِخْفَاءهَا، سَتْرَهَا."
2039	تَسَجُّلٌ		سجل		مصدر	تَسَجَّلَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَجُّلٌ-تَسَجُّلٌ [س ج ل] (مص. تَسَجَّلَ). ""التَّسَجُّلُ فِي القَائِمَةِ"" : التَّقَيُّدُ فِيهَا."
2040	تَسَخُّرٌ		سخر		مصدر	تَسَخَّرَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَخُّرٌ-تَسَخُّرٌ [س خ ر] (مص. تَسَخَّرَ). 1.""أَرَادَ تَسَخُّرَهُ"" : تَك"
2041	تَسَدُّدٌ		سدد		مصدر	تَسَدَّدَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَدُّدٌ-تَسَدُّدٌ [س د د] (مص. تَسَدَّدَ). ""تَسَدُّدُ "
2042	تَسَدُّرٌ		سدر		مصدر	تَسَدَّرَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَدُّرٌ-تَسَدُّرٌ [س د ر] (مص. تَسَدَّرَ). ""التَّسَد"
2043	تَسَرُّبٌ		سرب		مصدر	تَسَرَّبَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَرُّبٌ-تَسَرُّبٌ [س ر ب] (مص. تَسَرَّبَ). 1.""اِنْتَبَهَ الْجيرَانُ إِلَى تَسَرُّبِ الْمَاءِ مِنْ تَحْتِ البَابِ"" : اِنْسِيَابُهُ،"
2044	تَسَرْبُلٌ		سرب		مصدر	تَسَرْبَلَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَرْبُلٌ-تَسَرْبُلٌ [س ر ب] (مص. تَسَرْبَلَ). 1.""يُعْجِبُهُ التَّسَرْبُلُ بِال"
2045	تَسَرُّحٌ		سرح		مصدر	تَسَرَّحَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَرُّحٌ-تَسَرُّحٌ [س ر ح] (مص. تَسَرَّحَ). 1.""تَسَرُّحُ الشَّعْرِ"": اِنْحِلاَلُهُ. 2.""تَسَرُّحُ السَّجِينِ"" : خُرُوجُهُ مِنَ السِّجْنِ."
2046	تَسَرُّعٌ		سرع		مصدر	تَسَرَّعَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَرُّعٌ-تَسَرُّعٌ [س ر ع] (مص. تَسَرَّعَ). 1.""التَّسَرُّعُ فِي إِنْجَازِ أَمْرٍ مَّا"": التَّصَرُّفُ فِي إِنْجَازِهِ بِلاَ تَفْكِيرٍ وَلاَ رَوِيَّةٍ. 2.""قَادَهُمُ الظَّرْفُ السِّيَاسِيُّ إِلىَ التَّسَرُّعِ لاتِّخَاذِ قَرَارٍ غَيْرِ مُنَاسِبٍ"" : الْمُبَادَرَةُ، التَّعْجِيلُ."
2047	تَسَرْوُلٌ		سرو		مصدر	تَسَرْوَلَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَرْوُلٌ-تَسَرْوُلٌ [س ر و] (مص. تَسَرْوَلَ). ""تَسَرْوُلُ الْمَرْأَةِ"": لُبْسُهَا السِّرْوَالَ."
2048	تَسَطُّحٌ		سطح		مصدر	تَسَطَّحَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَطُّحٌ-تَسَطُّحٌ [س ط ح] (مص. تَسَطَّحَ). 1.""تَسَطُّحُ الوَلَدِ عَلَى الأَرْضِ"" : تَمَدُّدُ"
2049	تَسَفُّدٌ		سفد		مصدر	تَسَفَّدَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَفُّدٌ-تَسَفُّدٌ [س ف د] (مص. تَسَفَّدَ). ""تَسَفُّدُ الرَّاكِبِ دَابَّتَهُ"" : رُكُوبُهَا مِنَ الخَلْفِ."
2050	تَسَفُّلٌ		سفل		مصدر	تَسَفَّلَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								تَسَفُّلٌ-تَسَفُّلٌ [س ف ل] (مص. تَسَفَّلَ
2051	تَسَفُّهٌ		سفه		مصدر	تَسَفَّهَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَفُّهٌ-تَسَفُّهٌ [س ف هـ] (مص. تَسَفَّهَ). ""تَسَف"
2052	تَسَكُّعٌ		سكع		مصدر	تَسَكَّعَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَكُّعٌ-تَسَكُّعٌ [س ك ع] (مص. تَسَكَّعَ). ""يَعِيش"
2053	تَسَكُّنٌ		سكن		مصدر	تَسَكَّنَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَكُّنٌ-تَسَكُّنٌ [س ك ن] (مص. تَسَكَّنَ). 1.""تَسَكُّنُ الرَّجُلِ"" : صَيْرُهُ مِسْكِينًا، تَشَبُّهُهُ بِالْمَسَاكِينِ. 2.""تَسَكُّنُ العَابِدِ"": اِطْمِئْنَانُهُ، صَيْرُهُ وَقُورًا."
2054	تَسَلُّحٌ		سلح		مصدر	تَسَلَّحَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَلُّحٌ-تَسَلُّحٌ [س ل ح] (مص. تَسَلَّحَ). 1.""تَسَلُّحُ الجُنْدِيِّ"": لُبْسُهُ السِّلاَحَ، اِتِّخَاذُهُ لِلسِّلاَحِ."
2055	تَسَلُّخٌ		سلخ		مصدر	تَسَلَّخَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَلُّخٌ-تَسَلُّخٌ [س ل خ] (مص. تَسَلَّخَ). ""تَسَلُّخُ الجِلْدِ"" : اِنْسِلاَخُهُ، اِنْكِشَافُهُ."
2056	تَسَلْسُلٌ		سلسل		مصدر	تَسَلْسَلَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَلْسُلٌ-تَسَلْسُلٌ [س ل س ل] (مص. تَسَلْسَلَ). 1.""حَافَظَ عَلَى تَسَلْسُلِ أَفْكَارِهِ"" : عَلَى تَرْتِيبِهَا، تَتَابُعِهَا، وَتَدَرُّجِهَا. 2.""عَرَفَتِ الأَحْدَاثُ تَسَلْسُلاً مُثِيراً"" : تَتَابُعاً، تَلاَحُقاً. ""يَشُدُّنِي تَسَلْسُلُ أَفْكَارِهِ""."
2057	تَسَلُّطٌ		سلط		مصدر	تَسَلَّطَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَلُّطٌ-تَسَلُّطٌ [س ل ط] (مص. تَسَلَّطَ). ""حَاوَلَ التَّخَلُّصَ مِنْ تَسَلُّطِهِ"" : سَيْطَرَتِهِ وَهَيْمَنَتِهِ وَتَحَكُّمِهِ."
2058	تَسَلُّفٌ		سلف		مصدر	تَسَلَّفَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَلُّفٌ-تَسَلُّفٌ [س ل ف] (مص. تَسَلَّفَ). ""تَسَلُّفُ مِقْدَارٍ مِنَ الْمَالِ"" : اِقْتِرَاضُهُ."
2059	تَسَلُّقٌ		سلق		مصدر	تَسَلَّقَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَلُّقٌ-تَسَلُّقٌ [س ل ق] (مص. تَسَلَّقَ). 1.""تَسَلُّقُ الجِبَالِ"" : اِرْتِقَاؤُهَا، اِعْتِلاَؤُهَا. 2.""تَسَلُّقُ شَجَ"
2060	تَسَلُّلٌ		سلل		مصدر	تَسَلَّلَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَلُّلٌ-تَسَلُّلٌ [س ل ل] (مص. تَسَلَّلَ). 1.""حَاجِزٌ يَمْنَعُ تَسَلُّلَ الأَعْدَاءِ"" : عُبُورَهُمْ فِي تَخَفٍّ، اِنْسِلاَلَهُمْ. 2.""تَسَلُّلُ لاَعِبٍ"" (ريا) : اِنْفِلاَتُ "
2061	تَسَلُّمٌ		سلم		مصدر	تَسَلَّمَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَلُّمٌ-تَسَلُّمٌ [س ل م] (مص. تَسَلَّمَ). ""تَسَلُّمُ رِسَالَةٍ"" : تَنَاوُلُهَا، تَلَقِّيهَا. ""تَسَلُّمُ مَبْلَغٍ مِنَ الْمَالِ""."
2062	تَسَلِّي		سلو		مصدر	تَسَلَّي		مذكر			مفرد	+ات			DnN	Pf		Tk	Tn	R0								"تَسَلٍّ-تَسَلٍّ، التَّسَلِّي [س ل و] (مص. تَسَلَّي). 1.""التَّسَلِّي فِي أَوْقَاتِ الفَرَاغِ"" : التَّلَهِّي. 2.""تَسَلِّي الأَحْزَانِ عَنْهُ"" : اِنْقِشَاعُهَا، زَوَالُهَا، اِنْكِشَافُهَا عَنْهُ."
2063	تَسَمُّرٌ		سمر		مصدر	تَسَمَّرَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَمُّرٌ-تَسَمُّرٌ [س م ر] (مص. تَسَمَّرَ). 1.""تَسَمُّرُ اللَّوْحِ"" : إِثْبَاتُهُ. 2.""التَّسَمُّرُ فِي الْمَكَانِ"" : الثُّبُوتُ فِيهِ."
2064	تَسَمُّعٌ		سمع		مصدر	تَسَمَّعَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَمُّعٌ-تَسَمُّعٌ [س م ع] (مص. تَسَمَّعَ). 1.""وَجَدَهُ فِي حَالَةِ تَسَمُّعٍ خَلْفَ الغُرْفَةِ"" : فِي حَالَةِ إِصْغَاءٍ. 2.""رَغِبَ فِي التَّسَمُّعِ إِلَى الحَدِيثِ"" : رَغِبَ فِي سَمْعِهِ."
2065	تَسَمُّمٌ		سمم		مصدر	تَسَمَّمَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَمُّمٌ-تَسَمُّمٌ [س م م] (مص. تَسَمَّمَ). ""أُصِيبَ بِحَالَةِ ال"
2066	تَسَمِّي		سمي		مصدر	تَسَمَّى		مذكر			مفرد	+ات			DnN	Pf		Tk	Tn	R0								"تَسَمٍّ-تَسَمٍّ، التَّسَمِّي [س م ي] (مص. تَسَمَّى). ""لَمْ يَكُنْ يَرْغَبُ ف"
2067	تَسَنُّمٌ		سنم		مصدر	تَسَنَّمَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَنُّمٌ-تَسَنُّمٌ [س ن م] (مص. تَسَنَّمَ). 1.""تَسَنُّمُ النَّاقَةِ"" : رُكُوبُ سَنَامِهَا. 2.""تَسَنُّمُ ذِرْوَةِ الْمَجْدِ"" : اِرْتِقَاؤُهَا، عُلُوُّهَا، اِعْتِلاَؤُهَا."
2068	تَسَنُّنٌ		سنن		مصدر	تَسَنَّنَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَنُّنٌ-تَسَنُّنٌ [س ن ن] (مص. تَسَنَّنَ). 1.""التَّسَنُّنُ بِالسُّنَنِ"": الاِهْتِدَاءُ واَلعَمَلُ بِهَا. 2.""تَسَنُّنُ الفَقِيهِ"" : تَقَيُّدُهُ بِالسُّنَّةِ."
2069	تَسَهُّدٌ		سهد		مصدر	تَسَهَّدَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَهُّدٌ-تَسَهُّدٌ [س هـ د] (مص. تَسَهَّدَ). ""تَسَهُّدُ الرَّجُلِ"" : أَرَقُهُ، أَيْ عَدَمُ إِتْيَانِ النَّوْمِ إِلَيْهِ."
2070	تَسَهُّلٌ		سهل		مصدر	تَسَهَّلَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَهُّلٌ-تَسَهُّلٌ [س هـ ل] (مص. تَسَهَّلَ). ""تَسَهُّلُ الْمُهِمَّةِ"": تَيَسُّرُهَا."
2071	تَسَوُّرٌ		سور		مصدر	تَسَوَّرَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَوُّرٌ-تَسَوُّرٌ [س و ر] (مص. تَسَوَّرَ). 1.""تَسَوُّرُ الْمَرْأَةِ"" : لُبْسُهَا السِّوَارَ. 2.""تَسَ"
2072	تَسَوُّسٌ		سوس		مصدر	تَسَوَّسَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَوُّسٌ-تَسَوُّسٌ [س و س] (مص. تَسَوَّسَ). 1.""تَسَوُّسُ الطَّعَامِ"" : دُخُولُهُ الدُّودَ. 2.""تَسَوَّسَ الخَشَبُ"" : اِنْتِشَارُ السُّوسِ فِي ثَنَايَاهُ. 3.""تَسَوُّسُ السِّنِّ"" : دُخُولُ السُّوسَةِ فِيهَا."
2073	تَسَوُّقٌ		سوق		مصدر	تَسَوَّقَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَوُّقٌ-تَسَوُّقٌ [س و ق] (مص. تَسَوَّقَ). ""تَسَوُّقُ النَّاسِ"" : بَيْعُهُمْ وَشِرَاؤُهُمْ."
2074	تَسَوُّلٌ		سأل		مصدر	تَسَوَّلَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَوُّلٌ-تَسَوُّلٌ [س أ ل] (مص. تَسَوَّلَ). ""كَثُرَ التَّسَوُّلُ بِالْمَدِينَةِ"": الاِسْتِعْطَاءُ، الشِّحَاذَةُ."
2075	تَسَوِّي		سوي		مصدر	تَسَوَّى		مذكر			مفرد	+ات			DnN	Pf		Tk	Tn	R0								"تَسَوٍّ-تَسَوٍّ، التَّسَوِّي [س و ي] (مص. تَسَوَّى). ""تَسَوِّي الأَرْضِ"" : تَسَطُّحُهَا."
2076	تَسَيْطُرٌ		سيطر		مصدر	تَسَيْطَرَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَسَيْطُرٌ-تَسَيْطُرٌ [س ي ط ر] (مص. تَسَيْطَرَ). ""حَاوَلَ التَّسَيْطُرَ عَلَيْهِ"" : التَّحَكُّمَ فيهِ وَالتَّسَلُّطَ عَلَيْهِ."
2077	تَشَاؤُمٌ		شأم		مصدر	تَشَاءمَ		مذكر			مفرد	+ات			DnN	Pf			Tn	Rp								"تَشَاؤُمٌ-تَشَاؤُمٌ [ش أ م] (مص. تَشَاءمَ). ""تَشَاؤُمُهُ يُزْعِجُنِي"": تَطَيُّرُهُ، عَكْسُ التَّفَاؤُلِ."
2078	تَشَابُكٌ		شبك		مصدر	تَشَابَكَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَشَابُكٌ-تَشَابُكٌ [ش ب ك] (مص. تَشَابَكَ). 1.""تَشَابُكُ الخُيُوطِ"" : تَدَاخُلُهَا، ا"
2079	تَشَابُهٌ		شبه		مصدر	تَشَابَهَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَشَابُهٌ-تَشَابُهٌ [ش ب هـ] (مص. تَشَابَهَ). 1.""بَيْنَهُمَا تَشَابُهٌ"": شَبَهٌ، ت"
2080	تَشَاتُمٌ		شتم		مصدر	تَشَاتَمَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَشَاتُمٌ-تَشَاتُمٌ [ش ت م] (مص. تَشَاتَمَ). ""نَهَاهُم"
2081	تَشَاجُرٌ		شجر		مصدر	تَشَاجَرَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَشَاجُرٌ-تَشَاجُرٌ [ش ج ر] (مص. تَشَاجَرَ). 1.""تَشَاجُرُ الأَشْجَارِ"" : تَدَاخُلُ أَغْصَانِهَا. 2.""تَشَاجُرُ الأَوْلاَدِ"" : تَنَازُعُهُمْ، تَضَارُبُهُمْ، اِشْتِبَاكُهُمْ بِالأَيْدِي. 3.""التَّشَاجُرُ بِالرِّمَاحِ"" : التَّطَاعُنُ."
2082	تَشَاحُنٌ		شحن		مصدر	تَشَاحَنَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَشَاحُنٌ-تَشَاحُنٌ [ش ح ن] (مص. تَشَاحَنَ). ""اِزْدَادَ التَّشَاحُنُ بَيْنَهُمْ"" : التَّحَاقُدُ، التَّبَاغُضُ."
2083	تَشَارُسٌ		شرس		مصدر	تَشَارَسَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَشَارُسٌ-تَشَارُسٌ [ش ر س] (مص. تَشَارَسَ). ""عَادَ الوِئَامُ بَيْنَهُمْ بَعْدَ تَشَارُسٍ"" : بَعْدَ تَجَافٍ وَتَعَادٍ."
2084	تَشَارُطٌ		شرط		مصدر	تَشَارَطَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَشَارُطٌ-تَشَارُطٌ [ش ر ط] (مص. تَشَارَطَ). ""التَّشَارُطُ عَلَى اقْتِسَامِ الرِّبْحِ"" : الالْتِزَامُ بِشَرْطٍ..."
2085	تَشَارُكٌ		شرك		مصدر	تَشَارَكَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَشَارُكٌ-تَشَارُكٌ [ش ر ك] (مص. تَشَارَكَ). 1.""قَرَّرَا التَّشَارُكَ فِي التِّجَارَةِ"" : صَيْرُ كُلِّ وَاحِدٍ مِنْهُمَا شَرِيكاً لِلآخَرِ. 2.""التَّشَ"
2086	تَشَازُرٌ		شزر		مصدر	تَشَازَرَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَشَازُرٌ-تَشَازُرٌ [ش ز ر] (مص. تَشَازَرَ). ""يَسُودُ نَظَرَاتِهِمَا تَش"
2087	تَشَاغُبٌ		شغب		مصدر	تَشَاغَبَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَشَاغُبٌ-تَشَاغُبٌ [ش غ ب] (مص. تَشَاغَبَ). ""تَشَاغُبُ الصَّبِيَّيْنِ"" : إِثَارَةُ كُلِّ وَاحِدٍ مِنْهُمَا الشَّغَبَ عَلَى الآخَرِ."
2088	تَشَاغُلٌ		شغل		مصدر	تَشَاغَلَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَشَاغُلٌ-تَشَاغُلٌ [ش غ ل] (مص. تَشَاغَلَ). 1.""وَجَدَ نَفْسَهُ فِي تَشَاغُلٍ عَنْ مَهَامِّهِ"" : فِي شُغْلٍ عَنْهَا. 2.""التَّشَاغُلُ بِتَوَافِهِ الأَشْيَاءِ"" : التَّلَهِّي بِهَا."
2089	تَشَاكُسٌ		شكس		مصدر	تَشَاكَسَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَشَاكُسٌ-تَشَاكُسٌ [ش ك س] (مص. تَشَاكَسَ). ""تَشَاكُسُ الأَطْفَالِ"" : تَنَازُعُهُمْ، تَضَارُبُهُمْ، تَخَالُفُهُمْ."
2090	تَشَاكُلٌ		شكل		مصدر	تَشَاكَلَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَشَاكُلٌ-تَشَاكُلٌ [ش ك ل] (مص. تَشَاكَلَ). ""تَشَاكُلُ الوَلَدَيْنِ"": تَشَابُهُهُمَا، تَمَاثُلُهُمَا. ""تَشَاكُلُ الْمَشْهَدَيْنِ""."
2091	تَشَاكِي		شكو		مصدر	تَشَاكَى		مذكر			مفرد	+ات			DnN	Pf		Tk	Tn									"تَشَاكٍ-تَشَاكٍ، التَّشَاكِي [ش ك و] (مص. تَشَاكَى). ""كَثُرَ تَشَاكِيهمْ"" : تَبَادُلُ الشِّكَايةِ."
2092	تَشَامُخٌ		شمخ		مصدر	تَشَامَخَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَشَامُخٌ-تَشَامُخٌ [ش م خ] (مص. تَشَامَخَ) 1.""تَشَامُخُ الجَبَلِ"": عُلُوُّهُ، اِرْتِفَاعُهُ. 2.""تَشَامُخُ الرَّجُلِ"" : تَكَبُّرُهُ، تَعَظُّمُهُ."
2093	تَشَاوُرٌ		شور		مصدر	تَشَاوَرَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَشَاوُرٌ-تَشَاوُرٌ [ش و ر] (مص. تَشَاوَرَ). ""خَرَجُوا لِلتَّشَاوُرِ"": لِتَبَادُلِ الآرَاءِ مِنْ أَجْلِ الاتِّفَاقِ عَلَى رَأْيٍ مُوَحَّدٍ."
2094	تَشَايُخٌ		شيخ		مصدر	تَشَايَخَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَشَايُخٌ-تَشَايُخٌ [ش ي خ] (مص. تَشَايَخَ). ""تَشَايُخُ الطِّفْلِ"" : صَيْرُهُ كَالشَّيْخِ."
2095	تَشَايُعٌ		شيع		مصدر	تَشَايَعَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَشَايُعٌ-تَشَايُعٌ [ش ي ع] (مص. تَشَايَعَ). 1.""وَجَدَ النَّاسَ فِي تَشَايُعٍ"" : فِي تَفَرُّقٍ، أَيْ وَجَدَهُمْ شِيَعاً وَفِرَقاً. 2.""تَشَايُعُ الجَمَاعَةِ عَلَى البِنَاءِ"""
2096	تَشَبُّبٌ		شبب		مصدر	تَشَبَّبَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَشَبُّبٌ-تَشَبُّبٌ [ش ب ب] (مص. تَشَبَّبَ). 1.""تَشَبُّبُ الشَّيْخِ"" : ذِكْرُهُ أَيَّامَ الشَّبَابِ. 2.""تَشَبُّبُ الشَّاعِرِ بِالْمَرْأَةِ"" : التَّغَزُّلُ فِيهَا."
2097	تَشَبُّثٌ		شبث		مصدر	تَشَبَّثَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَشَبُّثٌ-تَشَبُّثٌ [ش ب ث] (مص. تَشَبَّثَ). 1.""التَّشَبُّثُ بِالعَمَلِ"" : التَّعَلُّقُ بِهِ. 2.""التَّشَبُّثُ بِالرَّأْيِ"" : التَّمَسُّكُ بِهِ."
2098	تَشَبُّعٌ		شبع		مصدر	تَشَبَّعَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَشَبُّعٌ-تَشَبُّعٌ [ش ب ع] (مص. تَشَبَّعَ). 1.""أَظْهَرَ تَشَبُّعاً"": أَظْهَرَ أَنَّهُ شَبْعَانُ. 2.""تَشَبُّعُ الأَرْضِ بِالْمَاءِ "" : اِمْتِصَاصُهَا أَقْصَى مَا يُمْكِنُ."
